time,adp,sdadp,asa,sdasa,asp,sdasp,aspp,sdaspp,atp,sdatp,hs,sdhs,hsp,sdhsp,nadp,sdnadp,nadph,sdnadph,phos,sdphos,thr,sdthr,V
45,1.6174784204056376,0.14451269,0.0309200453415264,0.002644411,1.279816586217449,0.144266972,0.0040316970130992,0.001164916,10.88252157959436,0.35748731,0.1606266648048375,0.006413039,0.1256474652385616,0.010241952,1.4563182496326883,0.118727701,0.543681750367314,0.083272299,1.4877992581539772,0.135105821,2.398957541384529,0.24126871,1.0
46,1.6421496811888705,0.146537963,0.0300824063846785,0.002605885,1.274204873376948,0.143785097,0.0040081140086778,0.001162721,10.857850318811126,0.355462037,0.1563220516638769,0.006220437,0.1239665746033567,0.009971693,1.4690125532640934,0.119823509,0.5309874467359089,0.082176491,1.5141749925768355,0.137403549,2.4114159799624653,0.242254167,1.0
47,1.6662766584912554,0.14852414,0.0292551390451406,0.002568467,1.2688590356304144,0.143318551,0.0039841262795845,0.001160596,10.83372334150874,0.35347586,0.1520200049231905,0.006035095,0.122132906141565,0.009700475,1.4811520025236982,0.120886235,0.5188479974763037,0.081113765,1.5401596260701065,0.139663069,2.423748787980109,0.243216816,1.0
48,1.689872537728599,0.150472623,0.0284402091373939,0.002532124,1.2637657590121036,0.142866738,0.0039597567854499,0.001158536,10.810127462271396,0.351527377,0.1477319783243499,0.00585684,0.1201579929679479,0.009429447,1.4927618050519096,0.121917146,0.5072381949480919,0.080082854,1.565754787975201,0.14188464,2.4359443037727595,0.244156314,1.0
49,1.712950868599679,0.15238478,0.0276393992272399,0.002496826,1.258912064817237,0.142429086,0.0039350371153549,0.001156537,10.78704913140032,0.34961522,0.1434685654232516,0.005685484,0.1180535156580622,0.009159662,1.5038666367424345,0.122917461,0.4961333632575673,0.079082539,1.5909623158262614,0.144068581,2.447991417758859,0.245072404,1.0
50,1.7355254699866731,0.15426194,0.0268542952943597,0.002462543,1.254285360154874,0.142005046,0.0039100057141903,0.001154597,10.76447453001332,0.34773806,0.1392395086950271,0.005520828,0.1158312443771062,0.008892073,1.514490558147828,0.123888346,0.4855094418521737,0.078111654,1.6157842198953762,0.146215271,2.4598795857644467,0.245964914,1.0
51,1.7576103424943323,0.156105396,0.0260862786437468,0.002429245,1.2498734804180447,0.141594093,0.0038847061632312,0.001152711,10.742389657505656,0.345894604,0.1350537118625977,0.005362663,0.1135029796954242,0.008627535,1.5246569417785405,0.124830919,0.4753430582214611,0.077169081,1.6402226566356772,0.14832515,2.4715988432169587,0.246833753,1.0
52,1.779219589048906,0.157916398,0.0253365228142609,0.002396905,1.245664723438806,0.141195721,0.003859185560203,0.001150877,10.720780410951075,0.344083602,0.1309192556990159,0.005210778,0.1110804926916062,0.008366813,1.5343884109090684,0.125746254,0.4656115890909331,0.076253746,1.6642799107970971,0.150398708,2.483139819796112,0.247678906,1.0
53,1.8003673437250978,0.159696159,0.0246059950681179,0.002365494,1.2416478753828477,0.140809449,0.0038334930351265,0.001149091,10.69963265627489,0.342303841,0.1268434174059602,0.005064957,0.1085754649913887,0.008110578,1.5437067901128756,0.126635379,0.4562932098871258,0.075364621,1.687958385698583,0.15243649,2.494493754116564,0.248500431,1.0
54,1.8210677087431864,0.16144585,0.0238954619195799,0.002334985,1.2378122286877566,0.140434814,0.0038076784284868,0.001147353,10.678932291256803,0.34055415,0.1228326935332306,0.004924983,0.1059994294216267,0.007859413,1.5526330673937507,0.127499278,0.4473669326062503,0.074500722,1.7112606008930735,0.154439085,2.5056525080093235,0.249298451,1.0
55,1.8413346993868165,0.163166604,0.0232054980767779,0.002305352,1.2341475925534429,0.140071373,0.0037817911484662,0.001145658,10.658665300613174,0.338833396,0.11889282628105,0.00479064,0.1033637119729396,0.007613821,1.5611873674767534,0.128338898,0.4388126325232477,0.073661102,1.734189196265411,0.156407125,2.5166085799673263,0.250073156,1.0
56,1.8611821964394373,0.16485951,0.0225364981267345,0.002276569,1.230644296648693,0.139718701,0.00375587921472,0.001144005,10.638817803560553,0.33714049,0.115028832921718,0.004661714,0.1006793757621147,0.007374222,1.569388935573966,0.129155142,0.4306110644260348,0.072844858,1.7567469414626034,0.158341283,2.5273551173260214,0.250824789,1.0
57,1.880623905625135,0.166525621,0.0218886902868606,0.00224861,1.2272931888040703,0.139376392,0.0037299884879316,0.001142392,10.61937609437486,0.335474379,0.111245037991928,0.004537994,0.0979571676662651,0.007140964,1.5772561307519026,0.129948879,0.4227438692480977,0.072051121,1.778936749470939,0.160242265,2.537885926762945,0.251553649,1.0
58,1.899673323466147,0.168165949,0.0212621515711423,0.002221449,1.2240856275211367,0.139044056,0.0037041620774833,0.001140818,10.600326676533845,0.333834051,0.1075451078429507,0.004419272,0.0952074682658085,0.006914325,1.5848064278978096,0.13072094,0.4151935721021902,0.07127906,1.8007616931228556,0.162110807,2.5481954827214794,0.252260081,1.0
59,1.918343708931097,0.16978147,0.0206568237693602,0.002195064,1.2210134701461777,0.138721321,0.0036784399142104,0.001139279,10.581656291068896,0.33221853,0.1039320870929748,0.004305346,0.0924402456836321,0.006694517,1.5920564272074071,0.131472122,0.4079435727925929,0.070527878,1.8222250233332544,0.163947674,2.558278933393646,0.252944473,1.0
60,1.93664806023971,0.171373119,0.0200725297059415,0.002169428,1.2180690575398638,0.13840783,0.0036528584713922,0.001137775,10.56335193976028,0.330626881,0.1004084365032266,0.004196018,0.0896650138447969,0.006481696,1.5990218700907028,0.132203188,0.400978129909297,0.069796812,1.8433301879235204,0.165753648,2.56813210393478,0.253607253,1.0
61,1.954599096205675,0.172941797,0.0195089893245141,0.00214452,1.2152451960298285,0.138103242,0.0036274506148192,0.001136303,10.545400903794311,0.329058203,0.0969760717953334,0.004091096,0.0868907956065866,0.006275961,1.6057176604077708,0.132914869,0.3942823395922287,0.069085131,1.8640808499842685,0.167529533,2.577751496628919,0.254248878,1.0
62,1.972209241533268,0.174488369,0.0189658352286,0.002120316,1.2125351373684743,0.137807228,0.0036022455617793,0.001134864,10.527790758466711,0.327511631,0.0936364029394025,0.003990394,0.0841260911246567,0.006077362,1.6121578899944895,0.133607866,0.3878421100055098,0.068392134,1.8844809048468307,0.169276143,2.587134287777088,0.254869835,1.0
63,1.9894906155295595,0.176013664,0.0184426273928161,0.002096795,1.209932557340497,0.137519477,0.0035772689289259,0.001133455,10.510509384470431,0.325986336,0.0903903734677028,0.003893732,0.081378851729771,0.005885906,1.6183558675108434,0.13428285,0.3816441324891562,0.06771715,1.904534494870861,0.170994303,2.596278321140288,0.255470635,1.0
64,2.00645502374734,0.177518478,0.0179388668382421,0.002073933,1.2074315335798558,0.137239688,0.0035525428499749,0.001132075,10.493544976252648,0.324481522,0.0872384994047287,0.003800937,0.0786564594935541,0.005701561,1.624324149733625,0.134940464,0.3756758502663744,0.067059536,1.9242460214038104,0.172684843,2.605182097833645,0.256051806,1.0
65,2.023113952130007,0.179003577,0.0174540081372449,0.00205171,1.2050265230695474,0.136967575,0.0035280861457827,0.001130723,10.476886047869984,0.322996423,0.0841809074478682,0.00371184,0.0759657125633838,0.005524259,1.630074574514204,0.135581325,0.3699254254857953,0.066418675,1.9436201534208388,0.174348595,2.6138447626361723,0.256613893,1.0
66,2.0394785632851207,0.18046969,0.0169874706751581,0.002030106,1.2027123397136306,0.136702863,0.0035039145313578,0.001129397,10.460521436714863,0.32153031,0.0812173720810998,0.003626281,0.0733128162485616,0.005353903,1.6356182947245297,0.136206021,0.3643817052754698,0.065793979,1.962661832505199,0.17598639,2.622266086750193,0.25715745,1.0
67,2.055559694565848,0.181917522,0.0165386486478989,0.002009099,1.2004841322925366,0.136445287,0.0034800408465534,0.001128098,10.444440305434131,0.320082478,0.0783473513546261,0.003544105,0.0707033797447658,0.00519037,1.6409658126159543,0.136815121,0.3590341873840454,0.065184879,1.9813762739745249,0.177599055,2.6304464471136195,0.25768304,1.0
68,2.0713678576872225,0.183347745,0.0161069198158014,0.001988672,1.1983373630418008,0.136194598,0.0034564752994179,0.001126823,10.428632142312749,0.318652255,0.0755700211139538,0.003465164,0.0681424182939114,0.005033514,1.6461270141122049,0.137409164,0.3538729858877951,0.064590836,1.9997689640938905,0.179187408,2.638386802435115,0.258191229,1.0
69,2.0869132396465075,0.184761004,0.0156916530651914,0.001968804,1.19626778703203,0.135950553,0.0034332257133243,0.001125572,10.413086760353464,0.317238996,0.0728843075109151,0.003389314,0.0656343604941059,0.004883173,1.6511112026474013,0.137988671,0.3488887973525985,0.064011329,2.017845653439075,0.180752258,2.6460886661844345,0.258682584,1.0
70,2.1022057047532665,0.186157916,0.0152922148514806,0.001949477,1.194271432474573,0.135712921,0.0034102977709703,0.001124345,10.397794295246715,0.315842084,0.0702889176751384,0.003316419,0.0631830604013485,0.004739169,1.655927132240867,0.13855414,0.3440728677591327,0.06344586,2.035612346580944,0.182294403,2.653554076826492,0.259157669,1.0
71,2.117254797605542,0.187539075,0.0149079746120261,0.001930673,1.1923445820328904,0.135481482,0.0033876952500896,0.001123139,10.382745202394451,0.314460925,0.0677823684665634,0.003246349,0.0607918140025198,0.004601311,1.660583039571822,0.139106047,0.3394169604281779,0.062893953,2.05307528835293,0.183814625,2.660785565635913,0.259617046,1.0
72,2.132069746873955,0.188905047,0.0145383092449976,0.001912376,1.1904837551833465,0.135256021,0.003365420247213,0.001121956,10.367930253126042,0.313094953,0.0653630132671432,0.003178978,0.0584633795892665,0.0044694,1.665086674878764,0.139644851,0.3349133251212368,0.062355149,2.0702409470374747,0.185313691,2.667786122468036,0.260061268,1.0
73,2.146659469776268,0.190256376,0.0141826067533132,0.001894568,1.1886856916403914,0.135036338,0.0033434733870692,0.001120792,10.353340530223734,0.311743624,0.0630290668025701,0.003114188,0.0562000015253238,0.004343232,1.669445331560698,0.14017099,0.3305546684393037,0.06182901,2.0871159948638742,0.186792352,2.674559159891336,0.260490882,1.0
